Date,Open,High,Low,Close,Adj Close,Volume,Return,,,,daily,
6/25/2020,119.760002,120.160004,118.379997,119.709999,118.785667,6856600,-0.004904453,,,,,
6/26/2020,119.599998,120.839996,118.019997,118.32,117.406403,8997200,-0.011611367,,,,,
6/29/2020,118.5,119.68,118.220001,119.059998,118.140686,5503800,0.006254199,,,,,
6/30/2020,119.220001,120.129997,118.540001,119.779999,118.855125,6836400,0.006047358,,,,,
7/1/2020,119.449997,119.919998,118.660004,119.690002,118.765831,6577900,-0.000751284,,,,,
7/2/2020,120.089996,120.879997,118.860001,119.209999,118.289528,5898600,-0.004010438,,,,,
7/6/2020,119.800003,119.870003,118.220001,118.889999,117.972,7231700,-0.002684329,,,,,
7/7/2020,118.449997,127.550003,118.220001,126.949997,125.969757,31152700,0.067793688,,,,,
7/8/2020,128,128.130005,124.400002,124.440002,123.479149,17405700,-0.019771476,,,,,
7/9/2020,125.610001,128.179993,124.949997,127.75,126.763588,14257200,0.026599139,,,,,
7/10/2020,128.740005,131.369995,127.260002,130.679993,129.670959,14745600,0.02293538,,,,,
7/13/2020,131.330002,133.630005,128.889999,129.520004,128.519928,14112800,-0.008876552,,,,,
7/14/2020,129.279999,132.5,129.029999,132.009995,130.990692,8818600,0.019224754,,,,,
7/15/2020,132.270004,134.130005,130.800003,132,130.980774,10577100,-7.57153E-05,,,,,
7/16/2020,132.050003,132.729996,131.240005,132.199997,131.17923,5892200,0.001515154,,,,,
7/17/2020,133.369995,133.369995,131.470001,131.740005,130.722794,6063200,-0.003479484,,,,,
7/20/2020,131.960007,132.740005,131.139999,131.470001,130.454865,6114200,-0.002049597,,,,,
7/21/2020,131.559998,133.990005,131.449997,132.330002,131.308228,7240400,0.006541443,,,,,
7/22/2020,132.570007,133.029999,131.190002,132.660004,131.635681,5388200,0.002493774,,,,,
7/23/2020,133,133.149994,131.309998,131.639999,130.62355,5598800,-0.00768888,,,,,
7/24/2020,130.949997,132.399994,130.509995,131.240005,130.226639,4345800,-0.003038587,,,,,
7/27/2020,130.860001,131.979996,130.860001,131.210007,130.196884,4681900,-0.000228486,,,,,
7/28/2020,131.5,132.380005,130.919998,131.759995,130.74263,4804700,0.004191698,,,,,
7/29/2020,131.559998,131.860001,129.850006,130.690002,129.680893,4741100,-0.008120817,,,,,
7/30/2020,129.419998,130.419998,128.720001,130.119995,129.115295,4596100,-0.00436146,,,,,
7/31/2020,129.649994,130.089996,127.620003,129.399994,128.400848,7211500,-0.005533403,,,,,
8/3/2020,129.910004,130.119995,128.270004,129.300003,128.301636,4990500,-0.000772674,,,,,
8/4/2020,129.649994,131.710007,128.940002,131.639999,130.62355,6073200,0.018097306,,,,,
8/5/2020,130.449997,130.75,128.830002,129.809998,128.807678,8503600,-0.013901567,,,,,
8/6/2020,129.130005,130.229996,129.029999,129.350006,128.351242,4832100,-0.003543547,,,,,
8/7/2020,129.580002,130.460007,129.110001,129.970001,128.966446,5519500,0.004793129,,,,,
8/10/2020,130.240005,132.339996,129.649994,131.880005,130.861694,5894400,0.014695667,,,,,
8/11/2020,132.589996,132.869995,129.729996,130.199997,129.194672,8453400,-0.012738808,,,,,
8/12/2020,130.470001,132.229996,129.080002,131.889999,130.871628,6372100,0.012980071,,,,,
8/13/2020,131.210007,131.960007,130.729996,131.850006,131.369812,6622400,0.003806662,,,,,
8/14/2020,132.339996,132.970001,131.630005,132.600006,132.117081,6702100,0.005688286,,,,,
8/17/2020,134.350006,136.130005,133.850006,135.600006,135.106155,13155000,0.022624433,,,,,
8/18/2020,136.169998,137.630005,133.169998,134.710007,134.219391,26744200,-0.006563461,,,,,
8/19/2020,134.210007,134.660004,131.850006,132.410004,131.927765,12718400,-0.017073733,,,,,
8/20/2020,131.210007,132.070007,130.050003,130.570007,130.094467,8936900,-0.013896226,,,,,
8/21/2020,130.550003,132.669998,130.100006,131.630005,131.150604,8288000,0.008118232,,,,,
8/24/2020,132.25,132.479996,130.330002,131.330002,130.8517,6604600,-0.00227909,,,,,
8/25/2020,130.800003,131.240005,129.669998,130.630005,130.154251,7240800,-0.005330072,,,,,
8/26/2020,130.210007,130.880005,129.699997,130.699997,130.223984,6271600,0.000535772,,,,,
8/27/2020,131.080002,139.350006,130.899994,136.630005,136.132401,39672900,0.045371189,,,,,
8/28/2020,141,141.070007,137.839996,140.300003,139.789032,21350300,0.026860843,,,,,
8/31/2020,137.479996,138.889999,135.529999,138.850006,138.344315,15078800,-0.010334981,,,,,
9/1/2020,141.199997,149.589996,140.050003,147.589996,147.052475,35708200,0.062945557,,,,,
9/2/2020,151.25,151.330002,145.610001,147.679993,147.142136,17222000,0.000609721,,,,,
9/3/2020,146.699997,149.600006,141.809998,144.539993,144.01358,16005000,-0.021262135,,,,,
9/4/2020,144.020004,145.039993,140.100006,142.830002,142.309814,11327400,-0.011830593,,,,,
9/8/2020,141.410004,141.899994,138.259995,138.449997,137.945755,11322300,-0.030665903,,,,,
9/9/2020,140.089996,142.610001,139.449997,139.889999,139.380524,11223000,0.010400965,,,,,
9/10/2020,140.059998,140.539993,136.589996,136.809998,136.311737,11236400,-0.02201733,,,,,
9/11/2020,137.050003,138.440002,135.550003,136.699997,136.202133,9626600,-0.000804069,,,,,
9/14/2020,136.139999,141.100006,135.880005,137.320007,136.819885,15244600,0.004535553,,,,,
9/15/2020,138.229996,139.080002,136.679993,137.360001,136.859726,10142600,0.000291193,,,,,
9/16/2020,138.410004,138.679993,136.050003,136.259995,135.763733,9286800,-0.008008148,,,,,
9/17/2020,135.429993,137.570007,135.020004,136.690002,136.192169,12415000,0.003155747,,,,,
9/18/2020,136.440002,137.529999,134.75,135.289993,134.797256,18236400,-0.010242241,,,,,
9/21/2020,136.5,137.240005,135.289993,137.070007,136.570801,15758500,0.01315713,,,,,
9/22/2020,137.070007,138.990005,136.570007,138.309998,137.806274,11034000,0.009046392,,,,,
9/23/2020,139,139.240005,135.820007,135.990005,135.49472,7711100,-0.016773939,,,,,
9/24/2020,135.729996,137.789993,135.070007,136.699997,136.202133,9817700,0.005220964,,,,,
9/25/2020,136.520004,137.539993,135.960007,137.270004,136.770065,7539600,0.004169773,,,,,
9/28/2020,137.160004,138.050003,136.720001,137.25,136.750137,7065700,-0.000145704,,,,,
9/29/2020,137.25,138.139999,136.389999,137.139999,136.640533,9234300,-0.000801491,,,,,
9/30/2020,137.389999,141.740005,137.199997,139.910004,139.400452,11608800,0.020198392,,,,,
10/1/2020,140.800003,144.380005,140.259995,143.080002,142.558899,14430300,0.022657366,,,,,
10/2/2020,142.339996,143.100006,140.130005,140.5,139.988297,8195000,-0.018031859,,,,,
10/5/2020,141.289993,142.190002,141.070007,141.800003,141.283569,4753000,0.009252716,,,,,
10/6/2020,141.869995,142.940002,140.25,140.630005,140.117828,7158500,-0.008251073,,,,,
10/7/2020,141.259995,141.550003,140.25,140.889999,140.376877,5649700,0.001848794,,,,,
10/8/2020,141.509995,142.089996,141.119995,141.360001,140.845169,4892300,0.003335963,,,,,
10/9/2020,141.660004,143.339996,141.559998,142.779999,142.259995,4831600,0.010045258,,,,,
10/12/2020,143.020004,145.389999,143.020004,144.25,143.72464,6134100,0.010295551,,,,,
10/13/2020,144.679993,146.600006,144.360001,146.229996,145.697418,7933400,0.013726095,,,,,
10/14/2020,146.399994,146.529999,143.759995,143.940002,143.415771,6574100,-0.015660175,,,,,
10/15/2020,143.089996,144.960007,142.839996,144.529999,144.003616,4564200,0.004098887,,,,,
10/16/2020,145.399994,146.149994,144.470001,144.710007,144.182968,5645000,0.001245469,,,,,
10/19/2020,145.100006,145.369995,142.75,142.949997,142.429367,4881100,-0.012162331,,,,,
10/20/2020,144.110001,145.529999,143.619995,143.899994,143.3759,4841000,0.006645631,,,,,
10/21/2020,143.839996,145.729996,143.839996,144.399994,143.874084,4371400,0.00347467,,,,,
10/22/2020,144.190002,144.559998,142.690002,143.550003,143.027191,4448000,-0.005886349,,,,,
10/23/2020,143.970001,144.139999,142.850006,143.850006,143.326096,3513500,0.002089847,,,,,
10/26/2020,142.839996,143.119995,140.940002,142.160004,141.642258,5370600,-0.0117483,,,,,
10/27/2020,142.050003,143.699997,141.970001,142.869995,142.349655,3943700,0.004994251,,,,,
10/28/2020,140.960007,142.130005,139.880005,140.039993,139.529968,5616400,-0.019808176,,,,,
10/29/2020,140,141.110001,138.699997,139.919998,139.4104,5051300,-0.000856934,,,,,
10/30/2020,139.179993,140.089996,137.369995,138.75,138.244675,6200600,-0.008361822,,,,,
11/2/2020,140.589996,140.809998,139.029999,140.399994,139.888657,5525200,0.011891829,,,,,
11/3/2020,141.649994,144.160004,141.570007,142.779999,142.259995,5137700,0.01695161,,,,,
11/4/2020,141.570007,144.389999,141.339996,141.960007,141.442978,5975800,-0.005743125,,,,,
11/5/2020,144,144.229996,142.940002,143.470001,142.947479,4734200,0.010636802,,,,,
11/6/2020,144.360001,146.220001,143.550003,145.770004,145.239105,5399500,0.016031245,,,,,
11/9/2020,148,148.199997,143.479996,143.539993,143.017212,9399500,-0.015298173,,,,,
11/10/2020,143.75,146.440002,143.529999,145.559998,145.029861,6066400,0.014072775,,,,,
11/11/2020,146.919998,148.960007,146.399994,147.979996,147.441055,6268600,0.0166255,,,,,
11/12/2020,148.479996,148.710007,147.100006,148.229996,147.69014,4188100,0.001689387,,,,,
11/13/2020,148.940002,150.940002,147.520004,150.539993,149.99173,6579400,0.015583911,,,,,
11/16/2020,150.529999,153.399994,149.279999,152.440002,151.884811,11520100,0.012621236,,,,,
11/17/2020,150.5,153.240005,149.179993,149.369995,148.825989,14237200,-0.020139091,,,,,
11/18/2020,149.860001,151.669998,149.050003,149.089996,148.547012,8312300,-0.001874518,,,,,
11/19/2020,149.460007,152.449997,149.320007,152.119995,151.565964,6196900,0.020323209,,,,,
11/20/2020,151.169998,152.759995,149.809998,150.240005,149.692825,7312400,-0.012358573,,,,,
11/23/2020,150.369995,151.399994,149.369995,150.929993,150.380295,6185700,0.004592538,,,,,
11/24/2020,151.740005,151.979996,150.270004,151.360001,150.808746,5718400,0.002849117,,,,,
11/25/2020,151.25,152.389999,151.210007,151.830002,151.277039,4611100,0.003105211,,,,,
11/27/2020,152.149994,152.720001,151.100006,151.600006,151.047882,3666500,-0.001514817,,,,,
11/30/2020,151.600006,152.949997,150.100006,152.789993,152.233536,10898500,0.007849524,,,,,
12/1/2020,153.600006,153.660004,151.660004,152.639999,152.084076,7647100,-0.000981781,,,,,
12/2/2020,152,152.619995,149.529999,150.520004,149.971802,7849000,-0.013888857,,,,,
12/3/2020,150.279999,150.279999,148.389999,149.300003,148.756256,8575300,-0.008105164,,,,,
12/4/2020,149.509995,149.509995,147.580002,148.910004,148.367676,6963100,-0.002612193,,,,,
12/7/2020,148.460007,148.990005,147.160004,148.110001,147.570587,6159700,-0.00537239,,,,,
12/8/2020,147.360001,149.850006,147.179993,149.449997,148.905701,6905500,0.009047291,,,,,
12/9/2020,150,150,147.889999,148.270004,147.729996,6713200,-0.007895635,,,,,
12/10/2020,147.75,148.149994,146.570007,147.039993,147.039993,6884100,-0.004670703,,,,,
12/11/2020,146.919998,147.509995,145.940002,147,147,5620300,-0.000271987,,,,,
12/14/2020,147.699997,147.720001,145.399994,145.649994,145.649994,8362700,-0.009183714,,,,,
12/15/2020,145.520004,146.360001,144.860001,145.580002,145.580002,10631500,-0.000480549,,,,,
12/16/2020,146.240005,146.889999,145.080002,145.429993,145.429993,8550300,-0.001030423,,,,,
12/17/2020,146.059998,146.440002,145.149994,146.100006,146.100006,10226500,0.004607117,,,,,
12/18/2020,146.619995,147.179993,145.160004,145.949997,145.949997,13794700,-0.001026756,,,,,
12/21/2020,145.5,146.669998,145.059998,145.970001,145.970001,8517700,0.000137061,,,,,
12/22/2020,145.149994,146.229996,143.139999,144.199997,144.199997,12533000,-0.012125807,,,,,
12/23/2020,143.539993,144.220001,142.300003,143.220001,143.220001,6810200,-0.006796089,,,,,
12/24/2020,143.539993,144.389999,143.179993,143.5,143.5,3018200,0.001955027,,,,,
12/28/2020,144.039993,145.300003,143.330002,145.220001,145.220001,6448300,0.01198607,,,,,
12/29/2020,145.639999,145.850006,143.589996,144.300003,144.300003,5979400,-0.006335202,,,,,
12/30/2020,144.880005,145.149994,143.940002,144.179993,144.179993,6250400,-0.00083167,,,,,
12/31/2020,144.199997,144.270004,142.850006,144.149994,144.149994,5938000,-0.000208066,,,,,
1/4/2021,144.300003,146.889999,144.279999,146.529999,146.529999,10727400,0.016510615,,,,,
1/5/2021,146.600006,147.070007,144.490005,145.75,145.75,8832700,-0.005323135,,,,,
1/6/2021,145.089996,148.100006,145.009995,146.660004,146.660004,7306300,0.006243595,,,,,
1/7/2021,147.619995,147.759995,146.039993,146.649994,146.649994,6846000,-6.82531E-05,,,,,
1/8/2021,146.880005,147,145.809998,146.630005,146.630005,8159400,-0.000136304,,,,,
1/11/2021,146,147.990005,146,147.289993,147.289993,8782400,0.004501043,,,,,
1/12/2021,149,149.929993,148.320007,148.970001,148.970001,7791100,0.011406125,,,,,
1/13/2021,148.75,149.070007,147.429993,147.449997,147.449997,5356500,-0.010203423,,,,,
1/14/2021,147.820007,148,146.039993,146.970001,146.970001,7672400,-0.003255314,,,,,
1/15/2021,145.139999,145.899994,143.669998,144.639999,144.639999,11973500,-0.015853589,,,,,
1/19/2021,144.639999,145.070007,142.669998,143.389999,143.389999,8041200,-0.008642146,,,,,
1/20/2021,143.589996,145.660004,142.889999,145.509995,145.509995,7925200,0.014784825,,,,,
1/21/2021,145.360001,145.729996,144.210007,144.850006,144.850006,4783300,-0.004535695,,,,,
1/22/2021,145.600006,147.339996,145.119995,146.330002,146.330002,6406500,0.010217438,,,,,
1/25/2021,145.360001,146.25,144.270004,146.199997,146.199997,6343700,-0.000888437,,,,,
1/26/2021,145.630005,147.809998,145.470001,147.509995,147.509995,5010500,0.008960315,,,,,
1/27/2021,146.960007,147.860001,143.550003,143.839996,143.839996,9970100,-0.024879663,,,,,
1/28/2021,144.460007,146.259995,143.630005,143.75,143.75,7433900,-0.000625667,,,,,
1/29/2021,143.179993,143.75,140.350006,140.490005,140.490005,10825900,-0.022678226,,,,,
2/1/2021,140.910004,141.490005,139.190002,139.270004,139.270004,8648400,-0.008683899,,,,,
2/2/2021,139.759995,142.149994,139.440002,140.770004,140.770004,9000800,0.010770446,,,,,
2/3/2021,140.660004,142.050003,140.630005,141.199997,141.199997,4988900,0.003054578,,,,,
2/4/2021,141.789993,143.179993,141.259995,142.529999,142.529999,5782100,0.009419278,,,,,
2/5/2021,143.460007,144.850006,142.529999,144.360001,144.360001,6814700,0.012839416,,,,,
2/8/2021,144.809998,145.580002,144.460007,145.029999,145.029999,5275100,0.004641161,,,,,
2/9/2021,144.580002,146.320007,144.580002,145.830002,145.830002,5302300,0.005516121,,,,,
2/10/2021,145.830002,145.899994,143.539993,144.130005,144.130005,6192300,-0.011657389,,,,,
2/11/2021,144.139999,144.949997,143.710007,144.020004,144.020004,4254800,-0.000763207,,,,,
2/12/2021,144.160004,144.610001,143.669998,144.470001,144.470001,4463300,0.003124545,,,,,
2/16/2021,145.940002,146.389999,144.929993,145.660004,145.660004,9297000,0.008237025,,,,,
2/17/2021,144.649994,147.5,144.5,147.199997,147.199997,8523700,0.010572518,,,,,
2/18/2021,139,140.699997,137.5,137.660004,137.660004,32309100,-0.064809736,,,,,
2/19/2021,137.800003,139.419998,137.669998,138.339996,138.339996,12202000,0.004939648,,,,,
2/22/2021,137.740005,138.339996,136.25,137.690002,137.690002,10702200,-0.004698526,,,,,
2/23/2021,137.110001,137.389999,135.059998,135.470001,135.470001,10433400,-0.016123182,,,,,
2/24/2021,135.869995,136.160004,133.050003,133.210007,133.210007,15521900,-0.016682616,,,,,
2/25/2021,133.100006,134.009995,131.479996,131.949997,131.949997,11108200,-0.009458824,,,,,
2/26/2021,131.479996,131.809998,129.860001,129.919998,129.919998,14146800,-0.015384608,,,,,
